Vehicle Type,Pickup Location,Drop Location,Avg VTAT,alvo,hora,dia_semana,mes,periodo_dia,sem_vtat
eBike,Palam Vihar,Jhilmil,8.3,0,12,5,3,tarde,1
Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,0,18,4,11,noite,0
Auto,Khandsa,Malviya Nagar,13.4,1,8,4,8,manha,0
Premier Sedan,Central Secretariat,Inderlok,13.1,1,17,0,10,tarde,0
Bike,Ghitorni Village,Khan Market,5.3,1,22,0,9,noite,0
Auto,AIIMS,Narsinghpur,5.1,1,9,1,2,manha,0
Go Mini,Vaishali,Punjabi Bagh,7.1,1,15,0,6,tarde,0
Auto,Mayur Vihar,Cyber Hub,12.1,1,17,1,3,tarde,0
Go Sedan,Noida Sector 62,Noida Sector 18,8.3,0,12,5,9,tarde,1
Auto,Rohini,Adarsh Nagar,6.1,0,19,0,12,noite,0
Auto,Udyog Bhawan,Dwarka Sector 21,7.7,1,16,4,6,tarde,0
Auto,Vidhan Sabha,AIIMS,8.3,0,8,2,9,manha,1
eBike,Patel Chowk,Kherki Daula Toll,4.6,0,22,1,6,noite,0
Go Mini,Malviya Nagar,Ghitorni Village,12.2,1,19,2,9,noite,0
Go Mini,Madipur,GTB Nagar,14.0,1,18,4,10,noite,0
Auto,Jama Masjid,Khan Market,8.5,1,15,4,6,tarde,0
Premier Sedan,IGI Airport,Madipur,5.6,1,10,0,7,manha,0
Go Sedan,Vinobapuri,GTB Nagar,6.0,0,15,6,12,tarde,0
eBike,Kashmere Gate,Anand Vihar,12.4,0,9,6,11,manha,0
eBike,Pitampura,Rajiv Nagar,10.3,0,19,4,5,noite,0
Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,1,21,5,12,noite,0
Auto,Greater Noida,Botanical Garden,7.0,1,6,0,7,manha,0
Go Mini,Tis Hazari,IMT Manesar,10.4,1,11,4,2,manha,0
Go Mini,Noida Sector 18,Old Gurgaon,7.9,1,20,5,3,noite,0
Auto,Kanhaiya Nagar,Anand Vihar,13.6,1,16,2,8,tarde,0
Uber XL,Okhla,Barakhamba Road,5.1,1,6,3,8,manha,0
Auto,Cyber Hub,Saket,11.5,0,9,4,1,manha,0
Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,8.3,0,19,4,4,noite,1
Bike,Shastri Park,Botanical Garden,3.1,0,18,4,4,noite,0
Auto,Faridabad Sector 15,Malviya Nagar,8.9,1,12,6,11,tarde,0
Go Mini,Qutub Minar,Vishwavidyalaya,9.2,0,17,5,5,tarde,0
Go Mini,Mundka,Preet Vihar,8.9,1,5,4,11,manha,0
Premier Sedan,DLF City Court,Nehru Place,11.5,1,18,6,2,noite,0
Auto,Tis Hazari,Shahdara,2.0,1,14,2,5,tarde,0
Go Sedan,New Colony,Ghitorni Village,5.4,0,19,5,7,noite,0
Go Sedan,Nirman Vihar,Malviya Nagar,14.6,1,19,4,6,noite,0
Auto,New Delhi Railway Station,Noida Film City,6.7,1,13,3,5,tarde,0
Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,1,3,2,10,madrugada,0
eBike,Seelampur,Janakpuri,10.0,1,15,0,2,tarde,0
Bike,Noida Extension,Udyog Vihar Phase 4,11.0,0,13,1,9,tarde,0
Auto,Adarsh Nagar,Civil Lines Gurgaon,8.0,0,9,3,9,manha,0
Auto,Vinobapuri,Karkarduma,12.8,1,10,2,1,manha,0
Premier Sedan,Panipat,Tagore Garden,6.4,0,19,0,2,noite,0
Auto,Karol Bagh,Tagore Garden,5.4,0,19,2,10,noite,0
Go Sedan,Sultanpur,Noida Extension,12.2,1,21,0,4,noite,0
Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,0,21,2,9,noite,0
Auto,Shastri Park,Anand Vihar ISBT,11.3,0,7,4,8,manha,0
Bike,Dilshad Garden,Nehru Place,2.3,0,13,0,9,tarde,0
Go Sedan,Dilshad Garden,Nehru Place,7.8,1,0,6,6,madrugada,0
Auto,Aya Nagar,Karkarduma,8.8,1,9,2,9,manha,0
Go Mini,Rajiv Chowk,Central Secretariat,9.9,0,21,5,5,noite,0
Go Mini,MG Road,Hauz Rani,4.1,1,18,0,6,noite,0
Go Mini,Jasola,Palam Vihar,11.2,1,22,3,10,noite,0
Go Mini,Kashmere Gate,RK Puram,3.0,1,11,5,5,manha,0
Go Sedan,Ardee City,Basai Dhankot,11.2,0,17,0,3,tarde,0
Go Mini,Punjabi Bagh,Madipur,9.1,1,5,6,11,manha,0
Auto,Meerut,Badarpur,4.3,0,10,2,9,manha,0
Uber XL,Anand Vihar ISBT,Dwarka Sector 21,8.3,0,15,3,4,tarde,1
Premier Sedan,Mayur Vihar,Palam Vihar,11.4,1,10,5,6,manha,0
Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,0,10,3,5,manha,0
Premier Sedan,Tughlakabad,Akshardham,12.4,1,12,1,7,tarde,0
Auto,Cyber Hub,Yamuna Bank,11.7,1,16,6,2,tarde,0
Auto,Karkarduma,IGI Airport,16.6,0,11,4,2,manha,0
Go Sedan,Shastri Nagar,New Colony,5.4,0,4,5,3,madrugada,0
Auto,Aya Nagar,Green Park,2.3,0,18,1,8,noite,0
Premier Sedan,Dwarka Mor,ITO,5.8,0,9,4,3,manha,0
Premier Sedan,Adarsh Nagar,Noida Extension,6.7,0,9,2,3,manha,0
eBike,Vidhan Sabha,Mehrauli,12.1,1,12,3,1,tarde,0
Auto,Anand Vihar,Saket,5.8,1,11,3,4,manha,0
Go Mini,Uttam Nagar,New Delhi Railway Station,4.0,1,20,0,6,noite,0
Go Sedan,Model Town,Mundka,3.4,1,19,0,7,noite,0
Auto,Mandi House,India Gate,11.1,0,10,6,12,manha,0
eBike,Ghitorni,Pitampura,9.9,1,21,5,12,noite,0
Go Mini,Ghitorni Village,Palam Vihar,5.9,0,11,4,2,manha,0
Bike,Okhla,Netaji Subhash Place,8.1,1,21,6,5,noite,0
Auto,DLF City Court,Udyog Vihar Phase 4,6.1,1,17,4,11,tarde,0
Go Sedan,Rajiv Nagar,Ramesh Nagar,6.0,1,21,3,12,noite,0
Premier Sedan,Sohna Road,New Delhi Railway Station,5.0,1,7,3,9,manha,0
Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12.0,0,8,0,11,manha,0
Premier Sedan,Anand Vihar ISBT,Rohini,3.2,0,18,3,8,noite,0
Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,1,9,5,2,manha,0
Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,0,11,3,9,manha,0
Bike,Moolchand,Karol Bagh,3.9,1,17,0,7,tarde,0
Auto,Uttam Nagar,Vaishali,8.4,1,16,5,10,tarde,0
Auto,INA Market,IFFCO Chowk,7.7,1,10,4,2,manha,0
Bike,Sushant Lok,Noida Sector 62,6.3,0,12,6,3,tarde,0
Bike,IIT Delhi,Mansarovar Park,5.0,1,17,2,12,tarde,0
Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,0,16,2,6,tarde,0
Go Mini,Adarsh Nagar,Gwal Pahari,8.3,0,18,3,6,noite,1
Premier Sedan,Munirka,Saidulajab,10.9,1,2,2,7,madrugada,0
eBike,New Colony,Jasola,5.7,0,21,1,2,noite,0
Auto,IGNOU Road,Tis Hazari,8.6,1,12,0,9,tarde,0
eBike,Meerut,Udyog Bhawan,9.5,1,13,4,9,tarde,0
Go Mini,Punjabi Bagh,Saket A Block,4.6,1,20,1,4,noite,0
Go Mini,Akshardham,Mayur Vihar,10.3,1,20,1,6,noite,0
eBike,Chhatarpur,Gurgaon Sector 29,6.0,0,16,2,10,tarde,0
Go Sedan,IMT Manesar,Ashram,2.6,1,18,6,8,noite,0
Uber XL,Madipur,DLF City Court,8.3,0,17,1,5,tarde,1
Go Sedan,Azadpur,Khan Market,2.1,1,8,1,10,manha,0
Premier Sedan,Chhatarpur,Badshahpur,14.4,0,18,1,3,noite,0
Go Mini,Cyber Hub,Old Gurgaon,7.5,1,18,0,6,noite,0
Bike,Jhilmil,DLF Phase 3,9.9,0,19,3,3,noite,0
eBike,Sikanderpur,Greater Noida,10.0,1,20,4,9,noite,0
Bike,Mayur Vihar,IGNOU Road,10.8,1,15,4,4,tarde,0
Bike,Rohini West,Yamuna Bank,7.0,1,18,6,5,noite,0
Go Mini,Mandi House,Bahadurgarh,9.2,1,11,2,6,manha,0
Auto,Azadpur,Hauz Rani,7.9,0,16,6,1,tarde,0
Go Sedan,Aya Nagar,Chandni Chowk,9.9,1,14,4,4,tarde,0
Auto,Shastri Nagar,Saket A Block,12.8,1,16,6,3,tarde,0
Go Mini,Vinobapuri,Shastri Park,5.9,1,19,1,3,noite,0
Bike,Rohini West,Yamuna Bank,14.7,1,15,0,6,tarde,0
Auto,Kashmere Gate ISBT,New Colony,3.5,1,17,4,8,tarde,0
Go Sedan,Rohini,Botanical Garden,8.6,1,15,6,2,tarde,0
Uber XL,Kherki Daula Toll,Nawada,3.2,0,18,0,6,noite,0
Bike,IFFCO Chowk,Dilshad Garden,8.3,0,11,5,3,manha,1
Go Mini,Hauz Rani,Kaushambi,13.1,0,10,6,7,manha,0
Auto,Dilshad Garden,Qutub Minar,8.1,0,6,6,9,manha,0
Bike,Faridabad Sector 15,Vinobapuri,7.7,1,22,6,5,noite,0
Auto,Sarai Kale Khan,Central Secretariat,8.1,0,13,5,3,tarde,0
Go Mini,Vishwavidyalaya,MG Road,8.3,0,8,3,9,manha,1
Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,1,16,3,12,tarde,0
eBike,Mayur Vihar,Vidhan Sabha,11.9,0,10,4,6,manha,0
Go Sedan,Vaishali,Tilak Nagar,6.0,1,18,5,11,noite,0
Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,0,13,0,11,tarde,0
Auto,Maidan Garhi,Panchsheel Park,12.5,1,19,1,4,noite,0
Auto,Yamuna Bank,Nirman Vihar,11.1,1,5,3,9,manha,0
Go Sedan,Khan Market,Central Secretariat,13.3,1,18,4,6,noite,0
Go Sedan,Pragati Maidan,Jama Masjid,9.7,1,15,5,6,tarde,0
Go Mini,Mansarovar Park,Rohini,13.3,1,14,6,5,tarde,0
Auto,Rithala,Aya Nagar,9.5,1,17,0,1,tarde,0
Go Sedan,Shastri Park,Indraprastha,10.0,1,17,0,7,tarde,0
Auto,Cyber Hub,Udyog Bhawan,3.6,1,17,2,8,tarde,0
Auto,Jhilmil,Vidhan Sabha,8.5,0,17,2,7,tarde,0
eBike,Saidulajab,Hauz Khas,10.0,1,16,2,5,tarde,0
Premier Sedan,Tughlakabad,Meerut,5.9,1,12,0,7,tarde,0
eBike,Kashmere Gate,Karkarduma,8.0,1,16,4,8,tarde,0
eBike,Madipur,Saket,8.3,0,22,3,8,noite,1
Auto,Shastri Park,Barakhamba Road,11.5,1,9,2,10,manha,0
Auto,Nawada,Jahangirpuri,8.3,0,1,6,5,madrugada,1
Auto,Shahdara,Bhiwadi,2.6,0,18,1,2,noite,0
Auto,Tilak Nagar,Azadpur,5.4,1,20,6,5,noite,0
Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,1,10,1,12,manha,0
Bike,Laxmi Nagar,Sohna Road,10.8,1,17,4,6,tarde,0
Go Mini,Huda City Centre,Akshardham,9.4,1,19,6,4,noite,0
Bike,Shastri Nagar,Shivaji Park,7.0,0,18,4,1,noite,0
Go Mini,Uttam Nagar,Greater Kailash,11.2,1,23,3,1,madrugada,0
Go Mini,Mehrauli,Nawada,9.0,1,19,0,4,noite,0
Go Mini,Mansarovar Park,Manesar,8.3,0,20,3,12,noite,1
Bike,Lajpat Nagar,Okhla,2.4,1,18,0,1,noite,0
Go Sedan,Patel Chowk,Nirman Vihar,13.4,0,21,3,8,noite,0
Go Mini,Botanical Garden,Azadpur,5.4,1,20,1,5,noite,0
Auto,Bahadurgarh,Pragati Maidan,7.7,0,12,5,8,tarde,0
Auto,Karol Bagh,Palam Vihar,5.4,1,21,6,6,noite,0
eBike,Azadpur,Raj Nagar Extension,19.1,0,22,0,3,noite,0
Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,1,16,2,11,tarde,0
Go Mini,Malviya Nagar,Lajpat Nagar,3.9,0,10,2,10,manha,0
Bike,Dwarka Sector 21,Malviya Nagar,18.5,0,18,5,8,noite,0
Bike,Noida Film City,Keshav Puram,16.1,0,19,0,5,noite,0
Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,13.7,1,6,2,11,manha,0
Go Mini,Pragati Maidan,Faridabad Sector 15,2.3,0,16,0,9,tarde,0
Auto,Tughlakabad,Ramesh Nagar,12.1,1,12,3,5,tarde,0
Go Sedan,India Gate,Kashmere Gate,4.5,1,19,3,2,noite,0
Premier Sedan,Maidan Garhi,Samaypur Badli,3.6,1,6,3,8,manha,0
Premier Sedan,Barakhamba Road,Noida Film City,5.8,1,19,3,5,noite,0
Uber XL,Kashmere Gate,Jor Bagh,6.9,1,6,1,8,manha,0
Bike,Barakhamba Road,DLF City Court,12.5,1,12,6,10,tarde,0
Bike,Gurgaon Sector 56,Cyber Hub,9.0,1,23,1,6,madrugada,0
Bike,Ghitorni Village,Faridabad Sector 15,6.2,0,6,1,2,manha,0
Go Mini,Ashram,Yamuna Bank,3.5,1,16,2,7,tarde,0
Go Sedan,Gurgaon Sector 29,Mansarovar Park,7.1,1,7,0,6,manha,0
Auto,Shahdara,Paharganj,7.1,1,14,3,7,tarde,0
Premier Sedan,Sultanpur,Delhi Gate,6.7,1,7,3,6,manha,0
eBike,Noida Film City,Vasant Kunj,7.2,0,16,0,11,tarde,0
